movieId,avg_rating
1,3.893707795
2,3.251527159
3,3.142028126
4,2.853547364
5,3.058434352
6,3.854908899
7,3.363666337
8,3.114583333
9,2.99205066
10,3.421457633
11,3.65717052
12,2.624565624
13,3.333527697
14,3.423488836
15,2.719021739
16,3.823706803
17,3.948806326
18,3.384350577
19,2.64216778
20,2.869921875
21,3.570162051
22,3.320017322
23,3.145691334
24,3.187583893
25,3.677304434
26,3.606708513
27,3.403931516
28,4.03
29,3.936724865
30,3.636792453
31,3.244838568
32,3.905767841
33,3.023076923
34,3.60319176
35,3.479289941
36,3.918686817
37,2.993333333
38,2.870839937
39,3.418738086
40,3.62672522
41,3.843413033
42,3.049565217
43,3.449956672
44,2.654624141
45,3.382907947
46,3.263412946
47,4.079166337
48,2.977750539
49,3.519736842
50,4.284353213
51,2.607142857
52,3.532892427
53,3.649635036
54,2.841131665
55,3.220329025
56,1.915384615
57,3.320438283
58,3.96790041
59,3.563535912
60,3.095889262
61,3.316091954
62,3.715354676
63,3.08390411
64,2.81395966
65,2.370255201
66,2.137697517
67,3.297546012
68,3.430160142
69,3.558321646
70,3.326568919
71,2.345673877
72,3.486853265
73,3.796035569
74,3.288098918
75,2.429657795
76,3.010046368
77,3.402843602
78,3.15279008
79,3.119936771
80,3.749514563
81,3.252743598
82,3.992351399
83,3.644320298
84,3.358156028
85,3.526833265
86,3.476664116
87,2.349680171
88,3.107188161
89,3.129402262
90,3.333333333
92,2.850047304
93,2.491993802
94,3.527925532
95,3.077245422
96,3.70045045
97,3.98623327
98,2.596385542
99,3.101047904
100,3.221220159
101,3.767350158
102,2.410646388
103,3.255258126
104,3.394398124
105,3.333222296
106,3.436
107,3.21687448
108,3.073913043
109,2.0625
110,4.002272574
111,4.083479216
112,3.406232889
113,3.101010101
114,3.589130435
115,3.534883721
116,3.911428571
117,3.574430823
118,2.985436893
119,2.733739837
120,2.841549296
121,3.748691099
122,2.859392419
123,3.99136939
124,3.496644295
125,3.744196843
126,2.318660647
127,3.109756098
128,3.485915493
129,3.139534884
130,3.226190476
131,3.310650888
132,2.777922078
133,2.6
134,3.451612903
135,3.001854349
136,3.627777778
137,3.254854369
138,3.227642276
139,3.111111111
140,3.28728311
141,3.510165245
142,3.013513514
143,1.928571429
144,3.464974371
145,3.275515786
146,2.902903811
147,3.583372809
148,2.908955224
149,3.686693148
150,3.873555615
151,3.531392842
152,3.086990596
153,2.871660075
154,3.786777432
155,3.408390411
156,3.50887574
157,2.794202303
158,2.921479069
159,3.417836125
160,2.602216126
161,3.739861235
162,4.008077401
163,3.439258582
164,3.452256295
165,3.50656666
166,2.844070278
167,3.076388889
168,3.081881687
169,2.269546028
170,3.2157104
171,3.599845798
172,2.751563014
173,2.555359805
174,2.449275362
175,3.507799325
176,3.849069451
177,2.889250814
178,3.392935982
179,2.730563003
180,3.575782931
181,1.95352501
182,3.075471698
183,3.362306368
184,3.067092652
185,3.102854288
186,2.877243497
187,3.431428571
188,3.333472803
189,2.991776316
190,3.578174187
191,2.684565916
192,3.037974684
193,2.24782974
194,3.844293827
195,3.07794418
196,2.836027092
197,3.055555556
198,3.417996762
199,3.770072993
200,2.822222222
201,3.001457726
202,3.054347826
203,3.146245059
204,2.926604923
205,3.5
206,3.448717949
207,3.373256277
208,2.86523359
209,2.810572687
210,2.887024609
211,3.58460076
212,2.5657277
213,4.016543069
214,4.026966292
215,3.914843513
216,3.240826702
217,2.728191489
218,3.285843685
219,3.606112054
220,2.448275862
222,3.528470413
223,3.847214137
224,3.44499936
225,3.284032091
226,2.783783784
227,3.061828599
228,2.691513761
229,3.5625
230,3.588200327
231,2.964968753
232,4.027935943
233,3.533083645
234,2.670392954
235,3.664388397
236,3.315047988
237,3.221403813
